Date,Open,High,Low,Close,Volume
2024-02-08,2036.42,2038.43,2020.34,2034.1,3596
2024-02-09,2034.1,2036.75,2020.3,2024.38,3442
2024-02-11,2023.45,2026.6,2023.45,2025.38,130
2024-02-12,2025.25,2026.98,2011.3,2018.76,3611
2024-02-13,2018.76,2029.71,1990.19,1991.28,3602
2024-02-14,1991.24,1996.0,1985.27,1993.75,3602
2024-02-15,1993.79,2007.9,1990.18,2003.26,3581
2024-02-16,2003.35,2015.02,1995.22,2013.01,3422
2024-02-18,2012.3,2013.96,2006.37,2007.0,137
2024-02-19,2012.87,2022.67,2007.0,2016.11,3199
2024-02-20,2016.11,2030.66,2014.2,2024.07,3336
2024-02-21,2023.8,2031.98,2020.47,2025.68,3609
2024-02-22,2025.52,2034.37,2019.77,2024.79,3593
2024-02-23,2024.69,2041.16,2015.99,2035.39,3431
2024-02-25,2034.29,2034.64,2032.2,2034.11,130
2024-02-26,2033.79,2036.78,2025.2,2031.06,3605
2024-02-27,2031.12,2039.29,2028.78,2030.08,3590
2024-02-28,2030.0,2037.52,2024.5,2034.6,3583
2024-02-29,2034.57,2050.42,2028.16,2044.13,3573
2024-03-01,2044.08,2088.03,2038.6,2082.65,3438
2024-03-03,2084.35,2086.0,2081.7,2083.28,137
2024-03-04,2083.17,2119.61,2079.4,2114.52,3615
2024-03-05,2114.3,2141.62,2110.0,2128.17,3596
2024-03-06,2127.91,2152.07,2123.6,2147.44,3557
2024-03-07,2147.45,2163.15,2144.26,2162.04,3629
2024-03-08,2161.53,2194.89,2154.03,2178.76,3429
2024-03-10,2180.23,2183.66,2176.5,2181.7,267
2024-03-11,2182.11,2188.68,2175.7,2183.59,3610
2024-03-12,2183.87,2184.36,2150.53,2156.93,3585
2024-03-13,2156.91,2179.03,2156.7,2175.4,3597
2024-03-14,2175.28,2176.74,2152.98,2161.58,3588
2024-03-15,2161.56,2172.44,2155.54,2155.78,3292
2024-03-17,2152.92,2156.63,2151.6,2156.6,275
2024-03-18,2156.5,2163.49,2145.3,2161.86,3631
2024-03-19,2162.27,2162.77,2147.12,2157.06,3610
2024-03-20,2157.11,2222.06,2149.66,2203.89,3609
2024-03-21,2203.88,2211.57,2166.32,2181.69,3579
2024-03-22,2181.67,2185.85,2157.35,2165.13,3288
2024-03-24,2175.21,2175.21,2164.4,2168.12,268
2024-03-25,2168.42,2181.01,2163.9,2172.99,3618
2024-03-26,2172.71,2199.64,2167.7,2179.61,3607
2024-03-27,2179.5,2197.32,2173.67,2190.55,3607
2024-03-28,2190.97,2233.81,2187.0,2231.91,3269
2024-03-31,2237.65,2246.82,2234.5,2246.23,269
2024-04-01,2244.75,2265.37,2228.57,2248.96,3631
2024-04-02,2248.57,2287.66,2246.5,2279.69,3581
2024-04-03,2279.73,2302.27,2266.01,2297.49,3594
2024-04-04,2297.34,2305.03,2280.98,2288.92,3605
2024-04-05,2289.04,2330.13,2267.98,2329.57,3256
2024-04-07,2320.99,2326.94,2305.6,2311.33,277
2024-04-08,2312.03,2350.28,2303.47,2338.89,3581
2024-04-09,2338.96,2365.04,2338.05,2354.73,3572
2024-04-10,2354.75,2359.9,2319.87,2335.47,3247
2024-04-11,2335.39,2378.63,2325.2,2376.77,3591
2024-04-12,2375.81,2430.7,2334.59,2343.65,3253
2024-04-14,2361.3,2372.0,2347.94,2364.61,264
2024-04-15,2363.77,2391.86,2325.16,2381.8,3595
2024-04-16,2380.83,2397.75,2362.28,2382.44,3590
2024-04-17,2382.89,2395.27,2358.51,2367.73,3585
2024-04-18,2368.53,2392.23,2364.44,2380.02,3598
2024-04-19,2379.59,2417.22,2372.99,2390.01,3245
2024-04-21,2384.19,2388.39,2381.2,2386.54,264
2024-04-22,2386.84,2386.84,2325.22,2333.86,3628
2024-04-23,2333.17,2334.11,2291.81,2323.48,3599
2024-04-24,2323.32,2336.63,2311.5,2316.09,3631
2024-04-25,2316.28,2344.47,2307.6,2330.65,3637
2024-04-26,2330.7,2351.93,2326.42,2337.48,3298
2024-04-28,2337.7,2338.42,2333.5,2335.82,170
2024-04-29,2336.56,2346.24,2322.31,2333.06,3612
2024-04-30,2333.01,2335.81,2285.26,2291.25,3612
2024-05-01,2291.98,2327.31,2283.2,2320.41,3099
2024-05-02,2324.49,2324.92,2285.63,2303.91,3097
2024-05-03,2304.26,2319.52,2278.5,2301.93,3268
2024-05-05,2301.85,2302.96,2292.9,2293.96,135
2024-05-06,2293.74,2331.82,2292.13,2325.64,3245
2024-05-07,2327.86,2329.72,2310.2,2315.13,3513
2024-05-08,2315.96,2321.31,2304.29,2308.72,3595
2024-05-09,2308.72,2348.29,2306.86,2346.57,3624
2024-05-10,2346.7,2377.81,2346.1,2359.97,3293
2024-05-12,2359.97,2362.76,2359.0,2360.29,273
2024-05-13,2360.08,2364.38,2332.77,2338.26,3609
2024-05-14,2338.14,2359.45,2334.6,2355.76,3613
2024-05-15,2355.94,2391.76,2352.39,2391.66,3615
2024-05-16,2391.57,2397.07,2371.04,2378.03,3615
2024-05-17,2378.18,2421.85,2373.6,2414.02,3288
2024-05-19,2414.02,2424.89,2414.02,2420.3,287
2024-05-20,2419.44,2449.93,2409.62,2426.12,3625
2024-05-21,2425.75,2433.48,2406.89,2421.51,3603
2024-05-22,2421.81,2426.13,2374.99,2382.22,3596
2024-05-23,2382.21,2383.53,2327.33,2331.82,3580
2024-05-24,2331.81,2347.08,2325.44,2333.04,3296
2024-05-26,2333.04,2340.28,2332.43,2337.05,275
2024-05-27,2336.93,2358.25,2334.54,2352.27,3227
2024-05-28,2352.35,2363.41,2339.9,2359.94,3643
2024-05-29,2359.59,2361.03,2334.8,2338.59,3613
2024-05-30,2338.11,2350.99,2322.58,2343.72,3629
2024-05-31,2343.23,2359.33,2320.38,2325.76,3271
2024-06-02,2325.76,2329.12,2322.7,2325.55,269
2024-06-03,2326.04,2354.29,2314.85,2350.39,3599
2024-06-04,2350.55,2352.32,2316.02,2328.66,3564
2024-06-05,2328.86,2357.23,2325.84,2354.98,3567
2024-06-06,2355.26,2378.17,2353.92,2376.68,3600
2024-06-07,2376.64,2387.49,2286.0,2293.51,3273
2024-06-09,2293.51,2299.81,2290.73,2298.46,263
2024-06-10,2298.34,2313.5,2287.74,2309.88,3601
2024-06-11,2310.0,2319.75,2297.9,2314.86,3588
2024-06-12,2314.9,2341.16,2310.88,2320.46,3568
2024-06-13,2319.97,2325.88,2295.9,2302.16,3592
2024-06-14,2302.72,2336.2,2301.5,2332.3,3269
2024-06-16,2332.3,2335.25,2326.7,2328.6,260
2024-06-17,2327.74,2328.57,2309.73,2320.76,3589
2024-06-18,2321.34,2332.63,2306.4,2328.24,3598
2024-06-19,2328.48,2334.76,2323.87,2329.24,3167
2024-06-20,2329.23,2365.1,2327.4,2360.66,3577
